date,profile_id,month_year,year
2019-10-14,2514,10-2019,2019
2019-10-15,2993,10-2019,2019
2019-10-16,2906,10-2019,2019
2019-10-17,2913,10-2019,2019
2019-10-18,2538,10-2019,2019
2019-10-19,787,10-2019,2019
2019-10-20,736,10-2019,2019
2019-10-21,2297,10-2019,2019
2019-10-22,2979,10-2019,2019
2019-10-23,2767,10-2019,2019
2019-10-24,2683,10-2019,2019
2019-10-25,2252,10-2019,2019
2019-10-26,720,10-2019,2019
2019-10-27,710,10-2019,2019
2019-10-28,2320,10-2019,2019
2019-10-29,2815,10-2019,2019
2019-10-30,2592,10-2019,2019
2019-10-31,2670,10-2019,2019
2019-11-01,2178,11-2019,2019
2019-11-02,791,11-2019,2019
2019-11-03,1528,11-2019,2019
2019-11-04,2602,11-2019,2019
2019-11-05,3072,11-2019,2019
2019-11-06,3135,11-2019,2019
2019-11-07,3033,11-2019,2019
2019-11-08,2626,11-2019,2019
2019-11-09,898,11-2019,2019
2019-11-10,988,11-2019,2019
2019-11-11,2539,11-2019,2019
2019-11-12,3474,11-2019,2019
2019-11-13,3339,11-2019,2019
2019-11-14,3400,11-2019,2019
2019-11-15,2978,11-2019,2019
2019-11-16,1009,11-2019,2019
2019-11-17,953,11-2019,2019
2019-11-18,2989,11-2019,2019
2019-11-19,3688,11-2019,2019
2019-11-20,3754,11-2019,2019
2019-11-21,3541,11-2019,2019
2019-11-22,4405,11-2019,2019
2019-11-23,1011,11-2019,2019
2019-11-24,926,11-2019,2019
2019-11-25,4252,11-2019,2019
2019-11-26,3405,11-2019,2019
2019-11-27,2372,11-2019,2019
2019-11-28,2332,11-2019,2019
2019-11-29,2114,11-2019,2019
2019-11-30,817,11-2019,2019
2019-12-01,936,12-2019,2019
2019-12-02,2792,12-2019,2019
2019-12-03,3524,12-2019,2019
2019-12-04,3643,12-2019,2019
2019-12-05,3589,12-2019,2019
2019-12-06,2967,12-2019,2019
2019-12-07,988,12-2019,2019
2019-12-08,1089,12-2019,2019
2019-12-09,3114,12-2019,2019
2019-12-10,3075,12-2019,2019
2019-12-11,2932,12-2019,2019
2019-12-12,3184,12-2019,2019
2019-12-13,2598,12-2019,2019
2019-12-14,1111,12-2019,2019
2019-12-15,1010,12-2019,2019
2019-12-16,2893,12-2019,2019
2019-12-17,2913,12-2019,2019
2019-12-18,2760,12-2019,2019
2019-12-19,2758,12-2019,2019
2019-12-20,2229,12-2019,2019
2019-12-21,915,12-2019,2019
2019-12-22,754,12-2019,2019
2019-12-23,1575,12-2019,2019
2019-12-24,1156,12-2019,2019
2019-12-25,651,12-2019,2019
2019-12-26,1186,12-2019,2019
2019-12-27,1323,12-2019,2019
2019-12-28,932,12-2019,2019
2019-12-29,1011,12-2019,2019
2019-12-30,1540,12-2019,2019
2019-12-31,1416,12-2019,2019
2020-01-01,761,01-2020,2020
2020-01-02,2306,01-2020,2020
2020-01-03,2507,01-2020,2020
2020-01-04,1320,01-2020,2020
2020-01-05,1257,01-2020,2020
2020-01-06,2572,01-2020,2020
2020-01-07,3698,01-2020,2020
