date,profile_id,month_year,year,source
2020-10-30,251,10-2020,2020,DiSC
2020-10-31,102,10-2020,2020,DiSC
2020-11-01,115,11-2020,2020,DiSC
2020-11-02,260,11-2020,2020,DiSC
2020-11-03,289,11-2020,2020,DiSC
2020-11-04,305,11-2020,2020,DiSC
2020-11-05,289,11-2020,2020,DiSC
2020-11-06,234,11-2020,2020,DiSC
2020-11-07,109,11-2020,2020,DiSC
2020-11-08,118,11-2020,2020,DiSC
2020-11-09,348,11-2020,2020,DiSC
2020-11-10,320,11-2020,2020,DiSC
2020-11-11,335,11-2020,2020,DiSC
2020-11-12,341,11-2020,2020,DiSC
2020-11-13,234,11-2020,2020,DiSC
2020-11-14,128,11-2020,2020,DiSC
2020-11-15,153,11-2020,2020,DiSC
2020-11-16,289,11-2020,2020,DiSC
2020-11-17,287,11-2020,2020,DiSC
2020-11-18,254,11-2020,2020,DiSC
2020-11-19,253,11-2020,2020,DiSC
2020-11-20,238,11-2020,2020,DiSC
2020-11-21,123,11-2020,2020,DiSC
2020-11-22,185,11-2020,2020,DiSC
2020-11-23,379,11-2020,2020,DiSC
2020-11-24,293,11-2020,2020,DiSC
2020-11-25,248,11-2020,2020,DiSC
2020-11-26,198,11-2020,2020,DiSC
2020-11-27,177,11-2020,2020,DiSC
2020-11-28,104,11-2020,2020,DiSC
2020-11-29,122,11-2020,2020,DiSC
2020-11-30,346,11-2020,2020,DiSC
2020-12-01,288,12-2020,2020,DiSC
2020-12-02,372,12-2020,2020,DiSC
2020-12-03,270,12-2020,2020,DiSC
2020-12-04,361,12-2020,2020,DiSC
2020-12-05,130,12-2020,2020,DiSC
2020-12-06,151,12-2020,2020,DiSC
2020-12-07,304,12-2020,2020,DiSC
2020-12-08,331,12-2020,2020,DiSC
2020-12-09,324,12-2020,2020,DiSC
2020-12-10,292,12-2020,2020,DiSC
2020-12-11,288,12-2020,2020,DiSC
2020-12-12,164,12-2020,2020,DiSC
2020-12-13,173,12-2020,2020,DiSC
2020-12-14,364,12-2020,2020,DiSC
2020-12-15,480,12-2020,2020,DiSC
2020-12-16,355,12-2020,2020,DiSC
2020-12-17,351,12-2020,2020,DiSC
2020-12-18,360,12-2020,2020,DiSC
2020-12-19,276,12-2020,2020,DiSC
2020-12-20,246,12-2020,2020,DiSC
2020-12-21,283,12-2020,2020,DiSC
2020-12-22,266,12-2020,2020,DiSC
2020-12-23,225,12-2020,2020,DiSC
2020-12-24,147,12-2020,2020,DiSC
2020-12-25,113,12-2020,2020,DiSC
2020-12-26,110,12-2020,2020,DiSC
2020-12-27,207,12-2020,2020,DiSC
2020-12-28,266,12-2020,2020,DiSC
2020-12-29,259,12-2020,2020,DiSC
